子策略,策略权重,策略表现,指数增强,IC,IF,IH
list_1_0,0.0610735318663,-0.00753015360243,加|持,加|持,减,减
list_2_0,0.081283622624,-0.00828091436141,加|持,加|持,减,减
list_3_0,0.0746064712785,-0.00786721428844,加|持,加|持,减,减
list_4_0,0.0984827203734,-0.00827718192007,加|持,加|持,减,减
list_5_0,0.135582613176,-0.0077598058189,加|持,加|持,减,减
list_6_0,0.130184561792,-0.00716092220994,加|持,加|持,减,减
list_7_0,0.196032030774,-0.00231833308111,加|持,加|持,加|持,减
list_8_0,0.222754448117,-0.0128597953937,减,减,减,减
